turn,alive_count,survival_fraction,x_mean,x_rms,y_mean,y_rms,z_mean,z_rms,delta_mean,delta_rms,px_rms,py_rms,emittance_proxy_x,emittance_proxy_y
265,9905,0.9905,1.3881617065272746e-05,0.0024619028886388437,-3.5141673680163244e-05,0.0021793439334313962,-0.0017059127280258724,0.07852131952694204,-5.353926664927009e-05,0.0023952272671487894,0.00044346824131999006,0.0005327651761189324,1.0422117422381264e-06,1.0309390367574572e-06
266,9905,0.9905,-1.6194955711321876e-06,0.0020923704922638903,1.2880350377436819e-05,0.0024584037506176462,-0.0017166741601177583,0.07900216692864927,-5.380716045943905e-05,0.0024075404121078484,0.000529373702136759,0.0004362225252200373,1.042722757931816e-06,1.0316814903710843e-06
267,9905,0.9905,-1.7055710533401496e-05,0.002817042564179606,6.0438259869689766e-05,0.0037501556942497716,-0.0017274895087914333,0.07948550347293187,-5.4076743368387864e-05,0.0024199292953674275,0.0005993500362476607,0.00032956073174151206,1.043239124877419e-06,1.0324276892686903e-06
268,9905,0.9905,-3.187822828945907e-05,0.004028511606239016,0.00010583602750180904,0.00526040609460645,-0.0017383591135559208,0.0799713441847446,-5.4348023822468746e-05,0.0024323943022266357,0.000649947660048432,0.00022441802375749946,1.043767899711152e-06,1.0331697017534888e-06
269,9905,0.9905,-4.556035428106809e-05,0.005299231769599528,0.00014745485876142803,0.006703716685307091,-0.0017492833156201124,0.08045970417022061,-5.462101032097336e-05,0.002444935820392918,0.0006789135693394654,0.00015424764504584518,1.0443153675377938e-06,1.0339010872529103e-06
270,9905,0.9905,-5.7616216074173363e-05,0.006466458767750549,0.00018381091637809183,0.007963740181193077,-0.0017602624579033845,0.08095059861708526,-5.489571141639298e-05,0.002457554239993397,0.0006850191609059822,0.00018069783291473686,1.0448861378368679e-06,1.0346178703055795e-06
271,9905,0.9905,-6.761801831243076e-05,0.0074487101441011875,0.00021360822407944083,0.008972086364991728,-0.0017712968850463215,0.08144404279507393,-5.5172135714680663e-05,0.0024702499535862866,0.0006680147997339976,0.0002750959134457661,1.0454824612082297e-06,1.0353191802410816e-06
272,9905,0.9905,-7.521122264805799e-05,0.008194563067120348,0.00023578486341910553,0.00968262975888284,-0.0017823869434214208,0.08194005205635337,-5.545029187551459e-05,0.0024830233561723854,0.0006286239304245898,0.0003831036373393046,1.046103866716565e-06,1.0360074545463352e-06
273,9905,0.9905,-8.012711399601985e-05,0.008669839216584641,0.0002495508169341265,0.010065287534192783,-0.001793532981143937,0.08243864183594675,-5.5730188612563126e-05,0.0024958748452066377,0.0005685639207709725,0.00048564251291018356,1.046747177346081e-06,1.0366881669886433e-06
274,9905,0.9905,-8.219230774409627e-05,0.008854095025519051,0.0002544161090728622,0.010104444385108326,-0.0018047353480826886,0.0829398276521626,-5.601183469375164e-05,0.0025088048206097766,0.0004906350560791664,0.0005747160811779356,1.0474069104727772e-06,1.03736911176491e-06
275,9905,0.9905,-8.133486162177564e-05,0.008739659142338105,0.0002502082425729992,0.009798604775394286,-0.0018159943958709912,0.08344362510702714,-5.629523894153056e-05,0.002521813684780035,0.00039904088075795266,0.000645554928949196,1.0480760170779462e-06,1.0380593407823022e-06
276,9905,0.9905,-7.758677689500223e-05,0.008331426995561317,0.00023707830990614883,0.009160377053445877,-0.0018273104779176256,0.08395004988672056,-5.6580410233145296e-05,0.0025349018426049363,0.0003005613858105385,0.0006949367213277333,1.048746864187993e-06,1.0387679022848406e-06
277,9905,0.9905,-7.108280210084144e-05,0.007646989261004368,0.000215495563411996,0.008216726023451238,-0.001838683949417807,0.08445911776201667,-5.686735750090766e-05,0.0025480697014731617,0.00020925167895248988,0.0007207756278275926,1.0494123266695491e-06,1.0395025581608369e-06
278,9905,0.9905,-6.205558408844424e-05,0.006717353017022802,0.0001862306394074201,0.0070101564978878525,-0.001850115167364306,0.08497084458872643,-5.71560897324689e-05,0.002561317671286489,0.0001617608019804944,0.0007220183700940541,1.0500668335275228e-06,1.0402686611466345e-06
279,9905,0.9905,-5.082734100877197e-05,0.00558959740511957,0.0001503280361901127,0.005603390779731811,-0.0018616044905585291,0.08548524630814491,-5.744661597109426e-05,0.002574646164471812,0.00019991128005300007,0.0006986215622281514,1.0507072149495916e-06,1.0410683523467916e-06
280,9905,0.9905,-3.7798355476637946e-05,0.004336401645722257,0.0001090688290307226,0.00409809139890465,-0.0018731522796217176,0.08600233894750192,-5.773894531593931e-05,0.00258805559599323,0.0002884729676456447,0.0006515514788062866,1.0513332209930356e-06,1.0419001974752008e-06
281,9905,0.9905,-2.3432699023054757e-05,0.00309294012678058,6.39249532990732e-05,0.00272003199042331,-0.0018847588970061805,0.08652213862041627,-5.803308692232787e-05,0.0026015463833642264,0.00038702566546649695,0.0005828045115813356,1.051947628352989e-06,1.0427593223387736e-06
282,9905,0.9905,-8.241697155117558e-06,0.002199212271629843,1.6506687390168692e-05,0.0021306587257292407,-0.0018964247070065896,0.08704466152735357,-5.832905000203141e-05,0.0026151189466599068,0.0004798400280807859,0.000495500613432696,1.052555911356374e-06,1.0436380409484588e-06
283,9905,0.9905,7.234275638313453e-06,0.002298591781165207,-3.1494790606351965e-05,0.002936097423174865,-0.0019081500757713015,0.08756992395608762,-5.8626843823550236e-05,0.0026287737085293303,0.0005596349242035189,0.0003942499544138758,1.0531655176182687e-06,1.0445269009390697e-06
284,9905,0.9905,2.244502258801937e-05,0.003292765894839971,-7.83677231456429e-05,0.004365941800769767,-0.0019199353713137805,0.0880979422821653,-5.8926477712396284e-05,0.002642511094207908,0.0006219939255812766,0.00028662545379188345,1.053784847280829e-06,1.0454160093473535e-06
285,9905,0.9905,3.6850088793696186e-05,0.00455236792795376,-0.00012244081874318227,0.005863577580663325,-0.0019317809635240536,0.08862873296937517,-5.922796105137762e-05,0.002656331531529885,0.0006639806266254789,0.00018988541825821877,1.0544220783839377e-06,1.046296456275443e-06
286,9905,0.9905,4.9937967008023847e-05,0.00579033567755383,-0.00016214284560335282,0.007239468000105338,-0.0019436872241802364,0.08916231257021945,-5.953130328088437e-05,0.002670235450940896,0.0006837638042225119,0.00015381714070869464,1.0550840036300997e-06,1.047161632695116e-06
287,9905,0.9905,6.124426244105158e-05,0.006887667139314121,-0.00019605864832023334,0.008401939526260043,-0.0019556545269600756,0.08969869772638958,-5.983651389917664e-05,0.0026842232855106025,0.0006805127969139648,0.00021612246198149816,1.055775043195698e-06,1.0480082470033764e-06
288,9905,0.9905,7.036817143491709e-05,0.0077774995391652404,-0.00022297959051231832,0.009292719150305863,-0.0019676832474526135,0.09023790516924543,-6.014360246267382e-05,0.002698295470945407,0.0006543721265111792,0.0003192628978404657,1.0564965752751577e-06,1.0488368837167803e-06
289,9905,0.9905,7.698668923999186e-05,0.008415992411984864,-0.00024194662536112025,0.009872418958294982,-0.001979773763169859,0.09077995172029787,-6.0452578586245805e-05,0.002712452445601247,0.000606465455009106,0.0004260154277756878,1.0572466842420462e-06,1.0496520121421409e-06
290,9905,0.9905,8.086604325772246e-05,0.00877467839128078,-0.00025228445922398894,0.010116858501563223,-0.0019919264535585546,0.09132485429169492,-6.076345194350563e-05,0.002726694650496464,0.0005389364308339678,0.0005235601273977172,1.0580203708893844e-06,1.0504614331521205e-06
291,9905,0.9905,8.186994710265151e-05,0.008838320207231248,-0.0002536255913858032,0.010016147758266212,-0.0020041417000119842,0.09187262988671151,-6.107623226710406e-05,0.002741022529324759,0.0004551027187365692,0.0006055456552685906,1.058810206562826e-06,1.0512752353167796e-06
292,9905,0.9905,7.996438414338878e-05,0.008604342722578486,-0.00024592337425521015,0.009574510242679512,-0.0020164198858817844,0.0924232956002426,-6.139092934902565e-05,0.00275543652846822,0.00036000214896740444,0.0006679003593054696,1.0596073504889379e-06,1.0521044042002883e-06
293,9905,0.9905,7.521875276997111e-05,0.008082770571248827,-0.00022945363000760122,0.00881035599235713,-0.002028761396489958,0.0929768686192999,-6.170755304088671e-05,0.002769937097010435,0.0002624441658713861,0.0007078776314540045,1.060402795334868e-06,1.0529592796008575e-06
294,9905,0.9905,6.780333510072113e-05,0.007296537898469971,-0.00020480476785395097,0.00775679962137904,-0.0020411666191408034,0.09353336622351212,-6.202611325423483e-05,0.002784524686749681,0.00018313386379202953,0.0007238125482323156,1.0611886682043794e-06,1.0538480781019028e-06
295,9905,0.9905,5.79831815772233e-05,0.0062827630131861,-0.00017285675621172696,0.006463815505544422,-0.0020536359431329717,0.09409280578562858,-6.234661996085016e-05,0.0027991997522121945,0.000169056308841063,0.0007150613572165945,1.0619593998652183e-06,1.054775690505865e-06
