mechanism,param,seed,active_fraction
stochastic,0.09,58,0.0
stochastic,0.09,59,0.0
stochastic,0.09,60,0.0
stochastic,0.09,61,0.0
stochastic,0.09,62,0.0
stochastic,0.09,63,0.0
stochastic,0.09,64,0.0
stochastic,0.09,65,0.0
stochastic,0.09,66,0.0
stochastic,0.09,67,0.0
stochastic,0.09,68,0.0
stochastic,0.09,69,0.0
stochastic,0.09,70,0.0
stochastic,0.09,71,0.0
stochastic,0.09,72,0.0
stochastic,0.09,73,0.0
stochastic,0.08,42,0.0
stochastic,0.08,43,0.0
stochastic,0.08,44,0.0
stochastic,0.08,45,0.0
stochastic,0.08,46,0.0
stochastic,0.08,47,0.0
stochastic,0.08,48,0.0
stochastic,0.08,49,0.0
stochastic,0.08,50,0.0
stochastic,0.08,51,0.0
stochastic,0.08,52,0.0
stochastic,0.08,53,0.0
stochastic,0.08,54,0.0
stochastic,0.08,55,0.0
stochastic,0.08,56,0.0
stochastic,0.08,57,0.0
stochastic,0.08,58,0.0
stochastic,0.08,59,0.0
stochastic,0.08,60,0.0
stochastic,0.08,61,0.0
stochastic,0.08,62,0.0
stochastic,0.08,63,0.0
stochastic,0.08,64,0.0
stochastic,0.08,65,0.0
stochastic,0.08,66,0.0
stochastic,0.08,67,0.0
stochastic,0.08,68,0.0
stochastic,0.08,69,0.0
stochastic,0.08,70,0.0
stochastic,0.08,71,0.0
stochastic,0.08,72,0.0
stochastic,0.08,73,0.0
stochastic,0.07,42,0.0
stochastic,0.07,43,0.0
stochastic,0.07,44,0.0
stochastic,0.07,45,0.0
stochastic,0.07,46,0.0
stochastic,0.07,47,0.0
stochastic,0.07,48,0.0
stochastic,0.07,49,0.0
stochastic,0.07,50,0.0
stochastic,0.07,51,0.0
stochastic,0.07,52,0.0
stochastic,0.07,53,0.0
stochastic,0.07,54,0.0
stochastic,0.07,55,0.0
stochastic,0.07,56,0.0
stochastic,0.07,57,0.0
stochastic,0.07,58,0.0
stochastic,0.07,59,0.0
stochastic,0.07,60,0.0
stochastic,0.07,61,0.0
stochastic,0.07,62,0.0
stochastic,0.07,63,0.0
stochastic,0.07,64,0.0
stochastic,0.07,65,0.0
stochastic,0.07,66,0.0
stochastic,0.07,67,0.0
stochastic,0.07,68,0.0
stochastic,0.07,69,0.0
stochastic,0.07,70,0.0
stochastic,0.07,71,0.0
stochastic,0.07,72,0.0
stochastic,0.07,73,0.0
stochastic,0.06,42,0.0
stochastic,0.06,43,0.0
stochastic,0.06,44,0.0
stochastic,0.06,45,0.0
stochastic,0.06,46,0.0
stochastic,0.06,47,0.0
stochastic,0.06,48,0.0
stochastic,0.06,49,0.0
stochastic,0.06,50,0.0
stochastic,0.06,51,0.0
stochastic,0.06,52,0.0
stochastic,0.06,53,0.0
stochastic,0.06,54,0.0
stochastic,0.06,55,0.0
stochastic,0.06,56,0.0
stochastic,0.06,57,0.0
stochastic,0.06,58,0.0
stochastic,0.06,59,0.0
stochastic,0.06,60,0.0
stochastic,0.06,61,0.0
stochastic,0.06,62,0.0
stochastic,0.06,63,0.0
stochastic,0.06,64,0.0
stochastic,0.06,65,0.0
stochastic,0.06,66,0.0
stochastic,0.06,67,0.0
stochastic,0.06,68,0.0
stochastic,0.06,69,0.0
stochastic,0.06,70,0.0
stochastic,0.06,71,0.0
stochastic,0.06,72,0.0
stochastic,0.06,73,0.0
stochastic,0.05,42,0.0
stochastic,0.05,43,0.0
stochastic,0.05,44,0.0
stochastic,0.05,45,0.0
stochastic,0.05,46,0.0
stochastic,0.05,47,0.0
stochastic,0.05,48,0.0
stochastic,0.05,49,0.0
stochastic,0.05,50,0.0
stochastic,0.05,51,0.0
stochastic,0.05,52,0.0
stochastic,0.05,53,0.0
stochastic,0.05,54,0.0
stochastic,0.05,55,0.0
stochastic,0.05,56,0.0
stochastic,0.05,57,0.0
stochastic,0.05,58,0.0
stochastic,0.05,59,0.0
stochastic,0.05,60,0.0
stochastic,0.05,61,0.0
stochastic,0.05,62,0.0
stochastic,0.05,63,0.0
stochastic,0.05,64,0.0
stochastic,0.05,65,0.0
stochastic,0.05,66,0.0
stochastic,0.05,67,0.0
stochastic,0.05,68,0.0
stochastic,0.05,69,0.0
stochastic,0.05,70,0.0
stochastic,0.05,71,0.0
stochastic,0.05,72,0.0
stochastic,0.05,73,0.0
stochastic,0.04,42,0.0
stochastic,0.04,43,0.0
stochastic,0.04,44,0.0
stochastic,0.04,45,0.0
stochastic,0.04,46,0.0
stochastic,0.04,47,0.0
stochastic,0.04,48,0.0
stochastic,0.04,49,0.0
stochastic,0.04,50,0.0
stochastic,0.04,51,0.0
stochastic,0.04,52,0.0
stochastic,0.04,53,0.0
stochastic,0.04,54,0.0
stochastic,0.04,55,0.0
stochastic,0.04,56,0.0
stochastic,0.04,57,0.0
stochastic,0.04,58,0.0
stochastic,0.04,59,0.0
stochastic,0.04,60,0.0
stochastic,0.04,61,0.0
stochastic,0.04,62,0.0
stochastic,0.04,63,0.0
stochastic,0.04,64,0.0
stochastic,0.04,65,0.0
stochastic,0.04,66,0.0
stochastic,0.04,67,0.0
stochastic,0.04,68,0.0
stochastic,0.04,69,0.0
stochastic,0.04,70,0.0
stochastic,0.04,71,0.0
stochastic,0.04,72,0.0
stochastic,0.04,73,0.0
stochastic,0.03,42,0.0
stochastic,0.03,43,0.0
stochastic,0.03,44,0.0
stochastic,0.03,45,0.0
stochastic,0.03,46,0.0
stochastic,0.03,47,0.0
stochastic,0.03,48,0.0
stochastic,0.03,49,0.0
stochastic,0.03,50,0.0
stochastic,0.03,51,0.0
stochastic,0.03,52,0.0
stochastic,0.03,53,0.0
stochastic,0.03,54,0.0
stochastic,0.03,55,0.0
stochastic,0.03,56,0.0
stochastic,0.03,57,0.0
stochastic,0.03,58,0.0
stochastic,0.03,59,0.0
stochastic,0.03,60,0.0
stochastic,0.03,61,0.0
stochastic,0.03,62,0.0
stochastic,0.03,63,0.0
stochastic,0.03,64,0.0
stochastic,0.03,65,0.0
stochastic,0.03,66,0.0
stochastic,0.03,67,0.0
stochastic,0.03,68,0.0
stochastic,0.03,69,0.0
stochastic,0.03,70,0.0
stochastic,0.03,71,0.0
stochastic,0.03,72,0.0
stochastic,0.03,73,0.0
stochastic,0.02,42,0.0
stochastic,0.02,43,0.0
stochastic,0.02,44,0.0
stochastic,0.02,45,0.0
stochastic,0.02,46,0.0
stochastic,0.02,47,0.0
stochastic,0.02,48,0.0
stochastic,0.02,49,0.0
stochastic,0.02,50,0.0
stochastic,0.02,51,0.0
stochastic,0.02,52,0.0
stochastic,0.02,53,0.0
stochastic,0.02,54,0.0
stochastic,0.02,55,0.0
stochastic,0.02,56,0.0
stochastic,0.02,57,0.0
stochastic,0.02,58,0.0
stochastic,0.02,59,0.0
stochastic,0.02,60,0.0
stochastic,0.02,61,0.0
stochastic,0.02,62,0.0
stochastic,0.02,63,0.0
stochastic,0.02,64,0.0
stochastic,0.02,65,0.0
stochastic,0.02,66,0.0
stochastic,0.02,67,0.0
stochastic,0.02,68,0.0
stochastic,0.02,69,0.0
stochastic,0.02,70,0.0
stochastic,0.02,71,0.0
stochastic,0.02,72,0.0
stochastic,0.02,73,0.0
stochastic,0.01,42,0.0
stochastic,0.01,43,0.0
stochastic,0.01,44,0.0
stochastic,0.01,45,0.0
stochastic,0.01,46,0.0
stochastic,0.01,47,0.0
stochastic,0.01,48,0.0
stochastic,0.01,49,0.0
stochastic,0.01,50,0.0
stochastic,0.01,51,0.0
stochastic,0.01,52,0.0
stochastic,0.01,53,0.0
stochastic,0.01,54,0.0
stochastic,0.01,55,0.0
stochastic,0.01,56,0.0
stochastic,0.01,57,0.0
stochastic,0.01,58,0.0
stochastic,0.01,59,0.0
stochastic,0.01,60,0.0
stochastic,0.01,61,0.0
stochastic,0.01,62,0.0
stochastic,0.01,63,0.0
stochastic,0.01,64,0.0
stochastic,0.01,65,0.0
stochastic,0.01,66,0.0
stochastic,0.01,67,0.0
stochastic,0.01,68,0.0
stochastic,0.01,69,0.0
stochastic,0.01,70,0.0
stochastic,0.01,71,0.0
stochastic,0.01,72,0.0
stochastic,0.01,73,0.0
stochastic_sensitive,0.1,42,1.0
stochastic_sensitive,0.1,43,1.0
stochastic_sensitive,0.1,44,1.0
stochastic_sensitive,0.1,45,1.0
stochastic_sensitive,0.1,46,1.0
stochastic_sensitive,0.1,47,1.0
stochastic_sensitive,0.1,48,1.0
stochastic_sensitive,0.1,49,1.0
stochastic_sensitive,0.1,50,1.0
stochastic_sensitive,0.1,51,1.0
stochastic_sensitive,0.1,52,1.0
stochastic_sensitive,0.1,53,1.0
stochastic_sensitive,0.1,54,1.0
stochastic_sensitive,0.1,55,1.0
stochastic_sensitive,0.1,56,1.0
stochastic_sensitive,0.1,57,1.0
stochastic_sensitive,0.1,58,1.0
stochastic_sensitive,0.1,59,1.0
stochastic_sensitive,0.1,60,1.0
stochastic_sensitive,0.1,61,1.0
stochastic_sensitive,0.1,62,1.0
stochastic_sensitive,0.1,63,1.0
stochastic_sensitive,0.1,64,1.0
stochastic_sensitive,0.1,65,1.0
stochastic_sensitive,0.1,66,1.0
stochastic_sensitive,0.1,67,1.0
stochastic_sensitive,0.1,68,1.0
stochastic_sensitive,0.1,69,1.0
stochastic_sensitive,0.1,70,1.0
stochastic_sensitive,0.1,71,1.0
stochastic_sensitive,0.1,72,1.0
stochastic_sensitive,0.1,73,1.0
stochastic_sensitive,0.09,42,1.0
stochastic_sensitive,0.09,43,1.0
stochastic_sensitive,0.09,44,1.0
stochastic_sensitive,0.09,45,1.0
stochastic_sensitive,0.09,46,1.0
stochastic_sensitive,0.09,47,1.0
stochastic_sensitive,0.09,48,1.0
stochastic_sensitive,0.09,49,1.0
stochastic_sensitive,0.09,50,1.0
stochastic_sensitive,0.09,51,1.0
stochastic_sensitive,0.09,52,1.0
stochastic_sensitive,0.09,53,1.0
stochastic_sensitive,0.09,54,1.0
stochastic_sensitive,0.09,55,1.0
stochastic_sensitive,0.09,56,1.0
stochastic_sensitive,0.09,57,1.0
stochastic_sensitive,0.09,58,1.0
stochastic_sensitive,0.09,59,1.0
stochastic_sensitive,0.09,60,1.0
stochastic_sensitive,0.09,61,1.0
stochastic_sensitive,0.09,62,1.0
stochastic_sensitive,0.09,63,1.0
stochastic_sensitive,0.09,64,1.0
stochastic_sensitive,0.09,65,1.0
stochastic_sensitive,0.09,66,1.0
stochastic_sensitive,0.09,67,1.0
stochastic_sensitive,0.09,68,1.0
stochastic_sensitive,0.09,69,1.0
stochastic_sensitive,0.09,70,1.0
stochastic_sensitive,0.09,71,1.0
stochastic_sensitive,0.09,72,1.0
stochastic_sensitive,0.09,73,1.0
stochastic_sensitive,0.08,42,1.0
stochastic_sensitive,0.08,43,1.0
stochastic_sensitive,0.08,44,1.0
stochastic_sensitive,0.08,45,1.0
stochastic_sensitive,0.08,46,1.0
stochastic_sensitive,0.08,47,1.0
stochastic_sensitive,0.08,48,1.0
stochastic_sensitive,0.08,49,1.0
stochastic_sensitive,0.08,50,1.0
stochastic_sensitive,0.08,51,1.0
stochastic_sensitive,0.08,52,1.0
stochastic_sensitive,0.08,53,1.0
stochastic_sensitive,0.08,54,1.0
stochastic_sensitive,0.08,55,1.0
stochastic_sensitive,0.08,56,1.0
stochastic_sensitive,0.08,57,1.0
stochastic_sensitive,0.08,58,1.0
stochastic_sensitive,0.08,59,1.0
stochastic_sensitive,0.08,60,1.0
stochastic_sensitive,0.08,61,1.0
stochastic_sensitive,0.08,62,1.0
stochastic_sensitive,0.08,63,1.0
stochastic_sensitive,0.08,64,1.0
stochastic_sensitive,0.08,65,1.0
stochastic_sensitive,0.08,66,1.0
stochastic_sensitive,0.08,67,1.0
stochastic_sensitive,0.08,68,1.0
stochastic_sensitive,0.08,69,1.0
stochastic_sensitive,0.08,70,1.0
stochastic_sensitive,0.08,71,1.0
stochastic_sensitive,0.08,72,1.0
stochastic_sensitive,0.08,73,1.0
stochastic_sensitive,0.07,42,1.0
stochastic_sensitive,0.07,43,1.0
stochastic_sensitive,0.07,44,1.0
stochastic_sensitive,0.07,45,1.0
stochastic_sensitive,0.07,46,1.0
stochastic_sensitive,0.07,47,1.0
stochastic_sensitive,0.07,48,1.0
stochastic_sensitive,0.07,49,1.0
stochastic_sensitive,0.07,50,1.0
stochastic_sensitive,0.07,51,1.0
stochastic_sensitive,0.07,52,1.0
stochastic_sensitive,0.07,53,1.0
stochastic_sensitive,0.07,54,1.0
stochastic_sensitive,0.07,55,1.0
stochastic_sensitive,0.07,56,1.0
stochastic_sensitive,0.07,57,1.0
stochastic_sensitive,0.07,58,1.0
stochastic_sensitive,0.07,59,1.0
stochastic_sensitive,0.07,60,1.0
stochastic_sensitive,0.07,61,1.0
stochastic_sensitive,0.07,62,1.0
stochastic_sensitive,0.07,63,1.0
stochastic_sensitive,0.07,64,1.0
stochastic_sensitive,0.07,65,1.0
stochastic_sensitive,0.07,66,1.0
stochastic_sensitive,0.07,67,1.0
stochastic_sensitive,0.07,68,1.0
stochastic_sensitive,0.07,69,1.0
stochastic_sensitive,0.07,70,1.0
stochastic_sensitive,0.07,71,1.0
stochastic_sensitive,0.07,72,1.0
stochastic_sensitive,0.07,73,1.0
stochastic_sensitive,0.06,42,0.9200000166893005
stochastic_sensitive,0.06,43,0.9190000295639038
stochastic_sensitive,0.06,44,0.9079999923706055
stochastic_sensitive,0.06,45,0.8999999761581421
stochastic_sensitive,0.06,46,0.8999999761581421
stochastic_sensitive,0.06,47,0.8960000276565552
stochastic_sensitive,0.06,48,0.878000020980835
stochastic_sensitive,0.06,49,0.8960000276565552
stochastic_sensitive,0.06,50,0.8999999761581421
stochastic_sensitive,0.06,51,0.9010000228881836
stochastic_sensitive,0.06,52,0.9079999923706055
stochastic_sensitive,0.06,53,0.9200000166893005
stochastic_sensitive,0.06,54,0.9200000166893005
stochastic_sensitive,0.06,55,0.9300000071525574
stochastic_sensitive,0.06,56,0.9359999895095825
stochastic_sensitive,0.06,57,0.9470000267028809
stochastic_sensitive,0.06,58,0.9520000219345093
stochastic_sensitive,0.06,59,0.9520000219345093
stochastic_sensitive,0.06,60,0.972000002861023
stochastic_sensitive,0.06,61,0.9739999771118164
stochastic_sensitive,0.06,62,0.9739999771118164
stochastic_sensitive,0.06,63,0.9900000095367432
stochastic_sensitive,0.06,64,0.984000027179718
stochastic_sensitive,0.06,65,0.9700000286102295
stochastic_sensitive,0.06,66,0.9599999785423279
stochastic_sensitive,0.06,67,0.9490000009536743
stochastic_sensitive,0.06,68,0.9440000057220459
stochastic_sensitive,0.06,69,0.9330000281333923
stochastic_sensitive,0.06,70,0.921999990940094
stochastic_sensitive,0.06,71,0.9150000214576721
stochastic_sensitive,0.06,72,0.9120000004768372
stochastic_sensitive,0.06,73,0.8999999761581421
stochastic_sensitive,0.05,42,0.8399999737739563
stochastic_sensitive,0.05,43,0.8309999704360962
stochastic_sensitive,0.05,44,0.8320000171661377
stochastic_sensitive,0.05,45,0.8349999785423279
stochastic_sensitive,0.05,46,0.8299999833106995
stochastic_sensitive,0.05,47,0.8119999766349792
stochastic_sensitive,0.05,48,0.8080000281333923
stochastic_sensitive,0.05,49,0.8100000023841858
stochastic_sensitive,0.05,50,0.8299999833106995
stochastic_sensitive,0.05,51,0.8339999914169312
stochastic_sensitive,0.05,52,0.828000009059906
stochastic_sensitive,0.05,53,0.8299999833106995
stochastic_sensitive,0.05,54,0.8399999737739563
