id,active,lost_reason,x_m,y_m,y_prime_rad,z_m,z_prime_rad,beta,velocity_m_s,transverse_velocity_m_s,z_transverse_velocity_m_s,momentum_kg_m_s,transverse_momentum_kg_m_s,z_transverse_momentum_kg_m_s,kinetic_energy_ev
7011,True,,1.0210915845638486,-3.39804969641025e-05,0.0011668390738314544,0.000408365537877713,-0.0018012951499890718,0.045596763753892745,13669534.400509203,15950.146859597362,-24622.866018246,2.2887767881394526e-20,2.67063418767957e-23,-4.122762527883161e-23,976887.7900702786
7012,True,,1.023481087023239,-0.0002089377967091859,-0.0007921890168856657,0.00031670714867380705,0.0003261358598505352,0.045597848966891216,13669886.204941621,-10829.133713631625,4458.240091507604,2.2888358064794072e-20,-1.8131905873476313e-23,7.464714338028546e-24,976934.3635626168
7013,True,,1.017930172468877,-0.0004783247950287823,-5.838055837437145e-05,9.831792108198298e-05,0.000477514323808433,0.04559134910932816,13667941.031448068,-797.9420292439207,6526.63761948546,2.288509434103916e-20,-1.3360445860800346e-24,1.0927960349553512e-23,976655.4293997274
7014,True,,1.0230707192922506,0.0012009403061387842,-0.0009918400340521722,-0.0006236536980980387,-0.002097486081387189,0.045720257478512286,13706551.477409367,-13594.70648409156,-28749.30094768316,2.294987759330993e-20,-2.2762607373641708e-23,-4.81370488215073e-23,982194.86118732
7015,True,,1.0186044647080583,-0.0005721365220233397,-0.0010291978589224554,0.0003597678032115831,0.0007025452047543753,0.04558768442435434,13666833.357057218,-14065.875629333283,9601.56823917769,2.2883235860963215e-20,-2.3551377353320894e-23,1.6076507623383066e-23,976498.1811569695
7016,True,,1.01425835247594,-0.0006976389104741429,0.003731072830693918,0.0010891405383375785,-0.000822892891915286,0.0455891722210315,13667190.2414801,50993.282181911454,-11246.633702167937,2.288383497028406e-20,8.538125491971022e-23,-1.8830945136809203e-23,976562.0196025923
7017,True,,1.0235713519445586,0.0016463719516391718,-0.0013150526668308372,0.0009977137066187673,-0.00019712935507438433,0.045824560764225676,13737845.562492268,-18065.99044346564,-2708.132635845593,2.3002385608166604e-20,-3.024934853749076e-23,-4.534445440110182e-24,986688.4862755922
7018,True,,1.0133015992386045,-0.00013593324539473855,0.0006698917401100079,0.0001788759427907658,0.0013206284772161643,0.04542666496863925,13618556.618214704,9122.958590762513,17985.053688595,2.2802235659004885e-20,1.5275029324009255e-23,3.011328175547574e-23,969601.5420526781
7019,True,,1.02323230243756,-0.00020629575641502345,0.0037320372638673725,0.0002759186766753008,0.002131598747179627,0.04574828202925789,13714863.250202587,51184.38071860125,29234.585321871746,2.296382409396907e-20,8.570184723958797e-23,4.8949658669157803e-23,983401.2108393157
7020,True,,1.0088213596839164,-0.0010826479075942386,-0.002754795535591219,-0.0010168107266021937,0.0007118028538647535,0.04540902580344026,13613228.357744938,-37501.660704899536,9689.934795355439,2.2793295985769e-20,-6.27908700230057e-23,1.6224333131654405e-23,968847.5295946378
