t,phase_error,continuation_mismatch,input_signal
73,1.770838737487793,0.795376181602478,0.725404897049371
74,1.7983605861663818,0.002920091152191162,0.32668718726562335
75,1.7494696378707886,0.003813803195953369,-0.2017782362578439
76,1.4551610946655273,0.01639115810394287,-0.6794216509239088
77,1.0163640975952148,0.017474651336669922,-0.8902722820157346
78,0.7284273505210876,0.00709378719329834,-0.7539720599543649
79,0.5381911993026733,0.00279998779296875,-0.33222163359406115
80,0.4291146993637085,0.007038295269012451,0.24275748123221974
81,0.32700443267822266,0.0023250579833984375,0.7511627981109289
82,0.24635237455368042,0.13797533512115479,0.9094504294730936
83,0.1769939661026001,0.1485108733177185,0.7815404537282741
84,0.11582529544830322,0.14605212211608887,0.3474585360860113
85,0.07488173246383667,0.10802412033081055,-0.24605490555437584
86,0.04174649715423584,0.11213302612304688,-0.7145617448714104
87,0.031196236610412598,0.10290396213531494,-0.9115525925607686
88,0.030794262886047363,0.0048656463623046875,-0.7798406703892325
89,0.04014551639556885,0.0002955794334411621,-0.30282119508803
90,0.05300092697143555,0.0005203485488891602,0.24172962303290918
91,0.09006232023239136,0.10055983066558838,0.7397503176521723
92,0.1305077075958252,0.09741401672363281,0.9478552563814273
93,0.17629414796829224,0.0958864688873291,0.7465675184551387
94,0.23166847229003906,0.09575462341308594,0.3408483319812683
95,0.28667640686035156,0.11951768398284912,-0.2719595800119682
96,0.35473453998565674,0.1742844581604004,-0.7862386067174637
97,0.41480857133865356,0.005817294120788574,-0.9644741883688486
98,0.463934063911438,0.31656718254089355,-0.7861827310300724
99,0.5005573034286499,0.002984464168548584,-0.3068191635895443
100,0.5170385837554932,0.0024376511573791504,0.0
101,0.558599054813385,0.011334776878356934,0.0
102,0.5693011283874512,0.3358224630355835,0.0
103,0.5957558751106262,0.019190549850463867,0.0
104,0.610645055770874,0.028416454792022705,0.0
105,0.6381499171257019,0.3757430911064148,0.0
106,0.6571265459060669,0.014652609825134277,0.0
107,0.6539949774742126,0.2412284016609192,0.0
108,0.6523597836494446,0.013319611549377441,0.0
109,0.6370072364807129,0.0061296820640563965,0.0
110,0.6166950464248657,0.005917489528656006,0.0
111,0.5926421880722046,0.3540182113647461,0.0
112,0.5324617624282837,0.03335350751876831,0.0
113,0.4822714924812317,0.03690207004547119,0.0
114,0.42430269718170166,0.2582480311393738,0.0
115,0.3651028871536255,0.04858678579330444,0.0
116,0.2723082900047302,0.20203959941864014,0.0
117,0.26940518617630005,0.029591679573059082,0.0
118,0.3700052499771118,0.007493734359741211,0.0
119,0.46355462074279785,0.01241147518157959,0.0
120,0.6035975217819214,0.21848952770233154,0.0
121,0.7336745858192444,0.2747887372970581,0.0
122,0.8496296405792236,0.01361536979675293,0.0
123,1.0022683143615723,0.4620179533958435,0.0
124,1.1193816661834717,0.027810990810394287,0.0
125,1.2411502599716187,0.019278883934020996,0.0
126,1.3649563789367676,0.022702395915985107,0.0
127,1.467392921447754,0.025409817695617676,0.0
128,1.5846185684204102,0.06598085165023804,0.0
129,1.6683790683746338,0.7196347713470459,0.0
130,1.7396767139434814,0.0754706859588623,0.0
131,1.7876087427139282,0.09209305047988892,0.0
132,1.8536103963851929,0.9752632975578308,0.0
133,1.8792049884796143,0.07561230659484863,0.0
134,1.9041199684143066,0.03820079565048218,0.0
135,1.9108800888061523,0.017061829566955566,0.0
136,1.9149441719055176,0.04656946659088135,0.0
137,1.9174046516418457,0.03719586133956909,0.0
138,1.9214386940002441,0.9830654859542847,0.0
139,1.912618637084961,0.021573126316070557,0.0
140,1.8939768075942993,0.01278066635131836,0.0
141,1.8694875240325928,0.8942278623580933,0.0
142,1.8627290725708008,0.026739537715911865,0.0
143,1.8425564765930176,0.0049471259117126465,0.0
144,1.8105013370513916,0.02195650339126587,0.0
145,1.784769058227539,0.021542370319366455,0.0
146,1.7605938911437988,0.012681126594543457,0.0
147,1.7643178701400757,0.7130292654037476,0.0
148,1.7049872875213623,0.8304296731948853,0.0
149,1.69984769821167,0.04526174068450928,0.0
150,1.6641298532485962,0.8089907765388489,0.0
151,1.6362360715866089,0.05735194683074951,0.0
152,1.6314096450805664,0.029335737228393555,0.0
153,1.627187728881836,0.01614236831665039,0.0
154,1.6154524087905884,0.01084136962890625,0.0
155,1.6039485931396484,0.004671692848205566,0.0
156,1.6041176319122314,0.7341219186782837,0.0
157,1.614666223526001,0.6198036670684814,0.0
158,1.599209189414978,0.1272609829902649,0.0
159,1.5647040605545044,0.8118842840194702,0.0
160,1.6384114027023315,0.09482347965240479,0.0
161,1.651401162147522,0.025522589683532715,0.0
162,1.7112913131713867,0.07453858852386475,0.0
163,1.7219219207763672,0.12423479557037354,0.0
164,1.7146973609924316,0.09400808811187744,0.0
165,1.7129385471343994,0.8180592060089111,0.0
166,1.6889729499816895,0.7756573557853699,0.0
167,1.6807138919830322,0.04419350624084473,0.0
168,1.673256278038025,0.7817420363426208,0.0
169,1.6276969909667969,0.07742983102798462,0.0
170,1.5905729532241821,0.04621380567550659,0.0
