step,time,order_parameter,edge_count,avg_degree,candidate_pairs,edge_added,recouple_asymmetry,inadmissible_edge_added,inadmissible_edge_add_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean
131,6.550000000000001,0.12547940285121506,251,10.04,70,2,0.02857142857142857,0,0.0,0,0.0,0.0
132,6.6000000000000005,0.12578561410622485,254,10.16,71,4,0.056338028169014086,0,0.0,0,0.0,0.0
133,6.65,0.12603728820293583,254,10.16,68,1,0.014705882352941176,0,0.0,0,0.0,0.0
134,6.7,0.12632288794111518,253,10.12,70,0,0.0,0,0.0,0,0.0,0.0
135,6.75,0.12664008001520216,254,10.16,72,1,0.013888888888888888,0,0.0,0,0.0,0.0
136,6.800000000000001,0.1269643639681705,254,10.16,77,1,0.012987012987012988,0,0.0,0,0.0,0.0
137,6.8500000000000005,0.12725128782242773,254,10.16,78,1,0.01282051282051282,0,0.0,0,0.0,0.0
138,6.9,0.12755366060239726,254,10.16,78,0,0.0,0,0.0,0,0.0,0.0
139,6.95,0.12786355269461128,254,10.16,81,1,0.012345679012345678,0,0.0,0,0.0,0.0
140,7.0,0.12823628774721313,254,10.16,82,1,0.012195121951219513,0,0.0,0,0.0,0.0
141,7.050000000000001,0.1286188831015121,254,10.16,83,1,0.012048192771084338,0,0.0,0,0.0,0.0
142,7.1000000000000005,0.12900981357146452,255,10.2,85,1,0.011764705882352941,0,0.0,0,0.0,0.0
143,7.15,0.1294075521870645,255,10.2,84,1,0.011904761904761904,0,0.0,0,0.0,0.0
144,7.2,0.12975476920692494,255,10.2,86,3,0.03488372093023256,0,0.0,0,0.0,0.0
145,7.25,0.12995644531540482,256,10.24,84,1,0.011904761904761904,0,0.0,0,0.0,0.0
146,7.300000000000001,0.13017169459198272,258,10.32,88,2,0.022727272727272728,0,0.0,0,0.0,0.0
147,7.3500000000000005,0.13039143733502054,258,10.32,91,0,0.0,0,0.0,0,0.0,0.0
148,7.4,0.1306213879957562,258,10.32,91,0,0.0,0,0.0,0,0.0,0.0
149,7.45,0.13086199227406262,260,10.4,92,2,0.021739130434782608,0,0.0,0,0.0,0.0
150,7.5,0.13110373365465355,264,10.56,94,4,0.0425531914893617,0,0.0,0,0.0,0.0
151,7.550000000000001,0.1313484232879511,267,10.68,93,3,0.03225806451612903,0,0.0,0,0.0,0.0
152,7.6000000000000005,0.1316038209827843,272,10.88,92,5,0.05434782608695652,0,0.0,0,0.0,0.0
153,7.65,0.13187907575133498,272,10.88,90,0,0.0,0,0.0,0,0.0,0.0
154,7.7,0.13216776196904395,273,10.92,94,2,0.02127659574468085,0,0.0,0,0.0,0.0
155,7.75,0.13252485829509703,274,10.96,93,2,0.021505376344086023,0,0.0,0,0.0,0.0
156,7.800000000000001,0.1329111108665374,276,11.04,92,2,0.021739130434782608,0,0.0,0,0.0,0.0
157,7.8500000000000005,0.1333055718478744,277,11.08,90,1,0.011111111111111112,0,0.0,0,0.0,0.0
158,7.9,0.13371624224569365,280,11.2,90,3,0.03333333333333333,0,0.0,0,0.0,0.0
159,7.95,0.13414551291157495,284,11.36,91,5,0.054945054945054944,0,0.0,0,0.0,0.0
160,8.0,0.1346043127468254,287,11.48,88,4,0.045454545454545456,0,0.0,0,0.0,0.0
161,8.05,0.13502174653835897,288,11.52,84,1,0.011904761904761904,0,0.0,0,0.0,0.0
162,8.1,0.13545644651074074,289,11.56,83,1,0.012048192771084338,0,0.0,0,0.0,0.0
163,8.15,0.13591199516313088,293,11.72,84,4,0.047619047619047616,0,0.0,0,0.0,0.0
164,8.200000000000001,0.13638759332714037,295,11.8,81,2,0.024691358024691357,0,0.0,0,0.0,0.0
165,8.25,0.13688122692379703,298,11.92,80,3,0.0375,0,0.0,0,0.0,0.0
166,8.3,0.13739935176143603,299,11.96,80,2,0.025,0,0.0,0,0.0,0.0
167,8.35,0.13788824185721793,300,12.0,78,1,0.01282051282051282,0,0.0,0,0.0,0.0
168,8.4,0.1384044837146202,298,11.92,79,0,0.0,0,0.0,0,0.0,0.0
