theorem_id,N,R_base,frag_injection,identity_similarity,identity_drift_rate,identity_collapse_rate,persistence_status
T004,2048,0.5,0.25,0.9999553360509325,4.4663949067537025e-05,0.6333333333333333,unstable
MST-001,512,0.1,0.0,0.0,1.0,1.0,unstable
MST-001,512,0.1,0.1,0.0,1.0,1.0,unstable
MST-001,512,0.1,0.25,0.0,1.0,1.0,unstable
MST-001,512,0.25,0.0,0.0,1.0,1.0,unstable
MST-001,512,0.25,0.1,0.0,1.0,1.0,unstable
MST-001,512,0.25,0.25,0.0,1.0,1.0,unstable
MST-001,512,0.5,0.0,0.9999537102237408,4.6289776259237726e-05,0.6,unstable
MST-001,512,0.5,0.1,0.0,1.0,1.0,unstable
MST-001,512,0.5,0.25,0.0,1.0,1.0,unstable
MST-001,1024,0.1,0.0,0.0,1.0,1.0,unstable
MST-001,1024,0.1,0.1,0.0,1.0,1.0,unstable
MST-001,1024,0.1,0.25,0.0,1.0,1.0,unstable
MST-001,1024,0.25,0.0,0.9999474276215459,5.2572378454196486e-05,0.5,unstable
MST-001,1024,0.25,0.1,0.0,1.0,1.0,unstable
MST-001,1024,0.25,0.25,0.0,1.0,1.0,unstable
MST-001,1024,0.5,0.0,0.9999542513908092,4.574860919095425e-05,0.0,stable
MST-001,1024,0.5,0.1,0.999956677562309,4.332243769102906e-05,0.0,stable
MST-001,1024,0.5,0.25,0.9999581453843237,4.185461567631142e-05,0.5333333333333333,unstable
MST-001,2048,0.1,0.0,0.0,1.0,1.0,unstable
MST-001,2048,0.1,0.1,0.0,1.0,1.0,unstable
MST-001,2048,0.1,0.25,0.0,1.0,1.0,unstable
MST-001,2048,0.25,0.0,0.999947040207273,5.29597927268477e-05,0.0,stable
MST-001,2048,0.25,0.1,0.9999494602323099,5.053976768997585e-05,0.0,stable
MST-001,2048,0.25,0.25,0.9999514931184649,4.850688153517685e-05,0.6333333333333333,unstable
MST-001,2048,0.5,0.0,0.999953442549442,4.655745055804165e-05,0.0,stable
MST-001,2048,0.5,0.1,0.9999550394172915,4.496058270854938e-05,0.0,stable
MST-001,2048,0.5,0.25,0.9999567393411357,4.326065886436729e-05,0.0,stable
