theorem_id,N,gamma,steps,mean_residue,final_fragmentation,final_agreement,admissibility_surface_shift,basin_area_delta
T003,1024,0.1,100,0.05149136195742597,0.9926315602407094,0.255526329819468,21.03665507694086,5.259163769235215
T003,1024,0.1,250,0.2521684852936505,0.9754625237297553,0.26840310720268346,101.99678796712124,25.49919699178031
T003,1024,0.25,10,0.003885998335824202,0.9950670364323347,0.25369972267574903,3.977329995845139,0.9943324989612847
T003,1024,0.25,50,0.029199855597371597,0.9904886522077198,0.25713351084421016,29.791780372196172,7.447945093049043
T003,1024,0.25,100,0.10305119810583588,0.976473617912721,0.2676447865654593,104.17672288016092,26.04418072004023
T003,1024,0.25,250,2.8487199081248806,0.5002383729206138,0.6248212203095396,2086.610568090187,521.6526420225467
T003,1536,0.01,10,0.3348047478631075,0.6659357531293494,0.500548185152988,13.690671175211719,3.4226677938029297
T003,1536,0.01,50,1.6923324549821213,0.6568060383598601,0.507395471230105,68.73468719265611,17.183671798164028
T003,1536,0.01,100,3.443034900179006,0.6440498361423516,0.5169626228932361,138.62653523092376,34.65663380773094
T003,1536,0.01,250,9.042177736536425,0.6083401123501895,0.543744915737358,354.1164397987018,88.52910994967544
T003,1536,0.05,10,0.3402181190131887,0.6545059671810288,0.5091205246142284,69.08738528517688,17.27184632129422
T003,1536,0.05,50,1.8074220236668763,0.6099711765293683,0.5425216176029738,353.92681062150496,88.48170265537624
T003,1536,0.05,100,3.908894734254994,0.5490887987803504,0.5881834009147372,727.1678171646549,181.79195429116373
T003,1536,0.05,250,12.066710710567799,0.36383371574425566,0.7271247131918083,1855.5531060210747,463.88827650526866
T003,1536,0.1,10,0.3451550183563491,0.6445856381339721,0.5165607713995207,138.96350244897076,34.74087561224269
T003,1536,0.1,50,1.9504295224387154,0.5512742295730999,0.5865443278201751,725.8140007623451,181.45350019058628
T003,1536,0.1,100,4.508146302456538,0.4269186078381815,0.6798110441213637,1486.401814697097,371.60045367427426
T003,1536,0.1,250,15.501189789038728,0.14180356881680878,0.8936473233873934,3226.7357294686317,806.6839323671579
T003,1536,0.25,10,0.3586754949953356,0.6144059992752223,0.5391955005435832,351.2981012981004,87.8245253245251
T003,1536,0.25,50,2.3963996204324047,0.370449492182463,0.7221628808631527,1846.043275155083,461.51081878877073
T003,1536,0.25,100,6.175102294990576,0.14185840855355267,0.8936061935848354,3221.204107903238,805.3010269758095
T003,1536,0.25,250,20.55818959085588,0.008120002577974766,0.9939099980665189,4071.996041145747,1017.9990102864367
T003,2048,0.01,10,0.5005010201028228,0.501403383729066,0.6239474622032005,20.449304606210262,5.1123261515525655
T003,2048,0.01,50,2.5273468610753733,0.48620641768829853,0.6353451867337762,102.22292235211899,25.555730588029746
T003,2048,0.01,100,5.123332010241631,0.47817590392399556,0.6413680720570034,204.56662106338808,51.14165526584702
T003,2048,0.01,250,13.276359336472915,0.4391214293456123,0.6706589279907907,509.24715077033716,127.31178769258429
T003,2048,0.05,10,0.5062426741724165,0.48797614775421955,0.6340178891843352,102.377339148396,25.594334787099
T003,2048,0.05,50,2.6519848410787574,0.4403134577311072,0.6697649067016695,508.6576147939036,127.1644036984759
T003,2048,0.05,100,5.613148860209853,0.3779643444525013,0.716526741660624,1002.3443660047501,250.58609150118752
T003,2048,0.05,250,16.156132347695504,0.22246762665621256,0.8331492800078408,2269.860327242361,567.4650818105903
T003,2048,0.1,10,0.511323352151255,0.4755546222577932,0.643334033306655,204.17362525923227,51.04340631480807
T003,2048,0.1,50,2.8032898623222002,0.37683243626457374,0.7173756728015698,1001.3280669461028,250.3320167365257
T003,2048,0.1,100,6.187507235438172,0.27114451455632854,0.7966416140827536,1889.8251822167713,472.4562955541928
T003,2048,0.1,250,18.832115006641757,0.07475544892162331,0.9439334133087826,3472.994924231537,868.2487310578842
