particle_id,gap,time_s,phase_rad,energy_ev
470,rf_gap_04,1.3810000000001733e-08,0.07539822368833171,992673.7682430573
15,rf_gap_04,1.3812000000001734e-08,0.07791149781120055,990579.1374570924
55,rf_gap_04,1.3812000000001734e-08,0.07791149781120055,989835.9079825397
369,rf_gap_04,1.3812000000001734e-08,0.07791149781120055,994730.8163995016
385,rf_gap_04,1.3812000000001734e-08,0.07791149781120055,980364.6048715354
23,rf_gap_04,1.3814000000001734e-08,0.08042477193407649,985747.3661939778
211,rf_gap_04,1.3814000000001734e-08,0.08042477193407649,968675.3677453934
232,rf_gap_04,1.3814000000001734e-08,0.08042477193407649,1003168.6763395126
48,rf_gap_04,1.3816000000001735e-08,0.08293804605695243,991928.5104387125
275,rf_gap_04,1.3816000000001735e-08,0.08293804605695243,974192.7754316457
363,rf_gap_04,1.3816000000001735e-08,0.08293804605695243,997100.1836456475
437,rf_gap_04,1.3818000000001735e-08,0.08545132017982127,975674.3549840212
162,rf_gap_04,1.3820000000001736e-08,0.08796459430269721,980006.881514409
283,rf_gap_04,1.3820000000001736e-08,0.08796459430269721,995890.1589705829
276,rf_gap_04,1.3822000000001737e-08,0.09047786842556604,997990.1073105034
392,rf_gap_04,1.3822000000001737e-08,0.09047786842556604,984093.6208922657
438,rf_gap_04,1.3822000000001737e-08,0.09047786842556604,1003919.6478877976
8,rf_gap_04,1.3824000000001737e-08,0.09299114254844199,995019.7086138907
109,rf_gap_04,1.3824000000001737e-08,0.09299114254844199,982822.7254112691
419,rf_gap_04,1.3824000000001737e-08,0.09299114254844199,991256.1250832019
72,rf_gap_04,1.3826000000001738e-08,0.09550441667131082,995332.7919022709
89,rf_gap_04,1.3826000000001738e-08,0.09550441667131082,994020.9492224769
285,rf_gap_04,1.3826000000001738e-08,0.09550441667131082,985593.1240841118
467,rf_gap_04,1.3826000000001738e-08,0.09550441667131082,988425.528870124
31,rf_gap_04,1.3828000000001739e-08,0.09801769079418676,975349.761503932
104,rf_gap_04,1.3828000000001739e-08,0.09801769079418676,998048.66005334
171,rf_gap_04,1.3828000000001739e-08,0.09801769079418676,991725.4457992105
226,rf_gap_04,1.3828000000001739e-08,0.09801769079418676,983456.0526265677
349,rf_gap_04,1.3828000000001739e-08,0.09801769079418676,978676.1254361373
493,rf_gap_04,1.3828000000001739e-08,0.09801769079418676,1000382.842698283
495,rf_gap_04,1.3828000000001739e-08,0.09801769079418676,993335.634977367
280,rf_gap_04,1.3830000000001739e-08,0.1005309649170556,982624.8913830436
133,rf_gap_04,1.383200000000174e-08,0.10304423903993154,986939.2948946671
254,rf_gap_04,1.383200000000174e-08,0.10304423903993154,995903.6653465333
324,rf_gap_04,1.383200000000174e-08,0.10304423903993154,979284.8668833288
431,rf_gap_04,1.383200000000174e-08,0.10304423903993154,996130.9404227755
68,rf_gap_04,1.383400000000174e-08,0.10555751316280038,979837.6471103643
348,rf_gap_04,1.383400000000174e-08,0.10555751316280038,1005903.7161520357
452,rf_gap_04,1.383400000000174e-08,0.10555751316280038,977704.841453804
325,rf_gap_04,1.3836000000001741e-08,0.10807078728567632,993359.7159998
412,rf_gap_04,1.3836000000001741e-08,0.10807078728567632,999457.6796346796
70,rf_gap_04,1.3840000000001742e-08,0.1130973355314211,975001.030739247
150,rf_gap_04,1.3842000000001743e-08,0.11561060965428993,989998.8053447945
409,rf_gap_04,1.3842000000001743e-08,0.11561060965428993,993296.3852411708
446,rf_gap_04,1.3842000000001743e-08,0.11561060965428993,996530.7341956507
115,rf_gap_04,1.3844000000001743e-08,0.11812388377716587,978732.2083335426
117,rf_gap_04,1.3844000000001743e-08,0.11812388377716587,976345.6125272631
139,rf_gap_04,1.3844000000001743e-08,0.11812388377716587,1013280.461043998
272,rf_gap_04,1.3844000000001743e-08,0.11812388377716587,987700.8952157137
343,rf_gap_04,1.3844000000001743e-08,0.11812388377716587,992283.0895211416
204,rf_gap_04,1.3846000000001744e-08,0.12063715790003471,989673.5549921037
442,rf_gap_04,1.3848000000001745e-08,0.12315043202291065,979704.6252772241
