id,active,lost_reason,x_m,y_m,y_prime_rad,z_m,z_prime_rad,beta,velocity_m_s,transverse_velocity_m_s,z_transverse_velocity_m_s,momentum_kg_m_s,transverse_momentum_kg_m_s,z_transverse_momentum_kg_m_s,kinetic_energy_ev
36,True,,1.012449232413488,0.0003893886956853848,-0.001045531955795052,0.0006053711181078045,-0.00040573757201029735,0.04553220287305786,13650202.433131745,-14271.72284691061,-5538.399992667928,2.2855331769951194e-20,-2.389597972578186e-23,-9.27326681982981e-24,974119.073032996
37,True,,1.0160478183080623,0.0010280877167344127,-0.00026508183284362975,0.000302050705719038,-0.005072188441043054,0.04561846796405738,13675896.241240269,-3625.231641407277,-69366.72283572303,2.2898442628454702e-20,-6.0699611412154746e-24,-1.1614521601793547e-22,977819.469697413
38,True,,1.0227784287944277,-0.0001572219141565102,-0.002063280468027513,0.0006866751370434381,0.0009520121410495638,0.04611346815655766,13824434.274694098,-28523.685220506428,13161.029272650501,2.314767615853301e-20,-4.7760148098127285e-23,2.203686874000695e-23,999189.0819630635
39,True,,1.0167843434669244,0.0008422054989195481,-0.0009505210396431312,-1.1908882337440206e-05,-0.002624109038680344,0.0457636157545868,13719533.420408288,-13040.705170185169,-36001.55165497045,2.2971659861121456e-20,-2.1835046013521554e-23,-6.028014027505927e-23,984061.5838804216
40,True,,1.0142472396621063,-0.0008210448704557968,-0.0003992097056580495,0.0002437595773057109,-0.00445004831110299,0.04560362309575058,13671485.805122294,-5457.789824171073,-60838.77231735296,2.289104241677276e-20,-9.13832630540578e-24,-1.0186624464614652e-22,977182.1874455552
41,True,,1.0112763266829294,0.000651630920493263,0.0021250280695007387,-0.0003306991199286522,0.0008823346484283704,0.045680410196324524,13694606.203858161,29101.422583957545,12083.22555024617,2.2929834908208632e-20,4.8726542808961233e-23,2.0231787822254837e-23,980480.868962748
42,True,,1.0202421731877112,-0.00115342072312336,-0.0029897718744959323,0.00018056731247484656,0.0018054145536035063,0.045898420201426496,13759916.287256913,-41139.010711059214,24842.353121379554,2.303941861305175e-20,-6.888260577404021e-23,4.159570167056714e-23,989876.7523793251
43,True,,1.0075722703376058,0.0004554257161052334,-0.0009257224826251794,-0.000279616397873182,-0.0007700002296942526,0.045549477945748394,13655380.054764772,-12641.092325487203,-10514.645778731188,2.2864018989464016e-20,-2.1165736421715876e-23,-1.7605299873621045e-23,974859.5340408962
44,True,,1.0129795340399916,0.0007379229392514889,-0.0015382363703463403,0.0004954460475415987,0.00029724197162526756,0.04547953351302196,13634404.407586614,-20972.936747760177,4052.7172480472827,2.282882538347414e-20,-3.511612949714566e-23,6.785685066872807e-24,971863.2520223976
45,True,,1.0038931618255782,-0.00034839099903035466,0.002518880438321026,0.00026993956939762786,0.00025922454648436444,0.04550957843671325,13643384.64176498,34366.05468663133,3536.7001962732697,2.2843892767940054e-20,5.754103462826736e-23,5.921697742706713e-24,973149.7498436515
