temperature,lambda,eta,mean_relative_improvement,median_relative_improvement,improvement_ci_low,improvement_ci_high,seed_consistency,standardized_effect,mean_jsd,finite_history_win_rate,shuffled_win_rate,random_win_rate,mean_best_history_k,candidate_stable,adjacent_stable_support,stable_region
0.25,0.1,0.175,0.2503631555389949,0.17917570782759015,0.11912096034542326,0.40449256987727866,0.875,1.2107371998344272,0.1183749395431609,1.0,1.0,1.0,6.0,True,2,False
0.25,0.1,0.25,0.27724826004675496,0.21729322858622496,0.1507960537851191,0.4237231519690461,1.0,1.3742827825288992,0.11600231771445507,1.0,1.0,1.0,4.25,True,3,True
0.25,0.1,0.325,0.20411694509294825,0.14081702597523266,0.06921275856682638,0.34322282151537864,0.75,0.9699873565064353,0.1200941623568487,0.875,1.0,1.0,3.75,False,5,False
0.25,0.1,0.4,0.28056358182850416,0.3205129362707707,0.1433972681630179,0.42810235843197086,0.875,1.2874263598734157,0.11493895630672307,1.0,1.0,1.0,2.625,True,2,False
0.25,0.2257,0.025,0.161293299759299,0.13265889421202773,0.07490126492484947,0.27481058664525854,0.875,1.0442758120662317,0.12000237984120488,0.875,1.0,1.0,6.625,True,2,False
0.25,0.2257,0.1,0.22005493693817346,0.23714098447184212,0.08827562968323399,0.35863783150981005,0.625,1.0270057238172194,0.11946678363138322,0.75,1.0,1.0,18.375,False,4,False
0.25,0.2257,0.175,0.19346231433540464,0.18381898320970286,0.08618147924576892,0.30849726929657406,0.75,1.0960961323021414,0.11593632646037116,0.875,1.0,1.0,10.75,False,3,False
0.25,0.2257,0.25,0.1861019077710645,0.13226302120663133,0.0903575221566619,0.31311617714318757,0.875,1.1367159317003628,0.1120050732040823,1.0,1.0,1.0,5.875,True,3,True
0.25,0.2257,0.325,0.2585159594666636,0.24993941189444902,0.14104981957563462,0.37953878016371906,1.0,1.357119442149546,0.11446906496276718,1.0,1.0,1.0,8.125,True,5,True
0.25,0.2257,0.4,0.18942541854826406,0.15786170704815927,0.07807586233358715,0.30609050317150993,0.875,1.0907223903606882,0.1150189483576711,1.0,1.0,1.0,3.5,True,3,True
0.25,0.3514,0.025,0.29094520289564685,0.28089607627078034,0.172809258273782,0.41241230260390654,0.875,1.565936956638723,0.11569958799753717,1.0,1.0,1.0,5.0,True,3,True
0.25,0.3514,0.1,0.14022803332632586,0.12076359160248637,0.04937802815030051,0.25320698756633864,0.625,0.8653476394467167,0.11935535306723169,0.875,1.0,1.0,11.75,False,5,False
0.25,0.3514,0.175,0.13706877324745673,0.03022518360421171,0.03429697688762426,0.2885520388301642,0.75,0.6618932937565476,0.11946116946581868,0.875,1.0,1.0,13.625,False,3,False
0.25,0.3514,0.25,0.2188704225368296,0.1313114595142969,0.09060723992247073,0.3688555542865812,0.75,1.02763202076183,0.11180777517530437,1.0,1.0,1.0,6.5,False,3,False
0.25,0.3514,0.325,0.21400090332460697,0.17667288252094743,0.08160300729432375,0.35633905200293675,0.75,1.0660193381901477,0.11529524697811518,1.0,1.0,1.0,4.5,False,4,False
0.25,0.3514,0.4,0.2753192489983074,0.24082056620744435,0.15386713257001214,0.40044519538774365,0.875,1.4315380516821656,0.12151851875612892,1.0,1.0,1.0,4.75,True,2,False
0.25,0.4771,0.025,0.23572664004739796,0.2258153527717968,0.11372321372162487,0.3572233260146349,0.875,1.2454559117487312,0.11127157531969611,0.875,1.0,1.0,12.25,True,2,False
0.25,0.4771,0.1,0.19155258790465982,0.15412579217422678,0.11273963316165243,0.27371272702413263,1.0,1.4942194567197224,0.11221172114324747,1.0,1.0,1.0,17.0,True,3,True
0.25,0.4771,0.175,0.17814561951477031,0.16849654076747092,0.11576825529353033,0.24393196034800857,0.875,1.7938157044559726,0.11212532679773513,1.0,1.0,1.0,10.0,True,2,False
0.25,0.4771,0.25,0.20880285828813414,0.17050892481688568,0.09893140048605045,0.3272902677767261,0.75,1.1798102059349178,0.11541175832099859,1.0,1.0,1.0,14.75,False,2,False
0.25,0.4771,0.325,0.1686034322117387,0.07499125963996812,0.044876152431388094,0.30173694361820125,0.75,0.8537850686825418,0.1100817162958929,1.0,1.0,1.0,11.25,False,2,False
0.25,0.4771,0.4,0.25877912581418516,0.22331493905764768,0.11209792377944534,0.42131934904650464,0.75,1.0784680042182553,0.11505976966274506,1.0,1.0,1.0,15.5,False,1,False
0.25,0.6029,0.025,0.1366362718257655,0.046498594358743324,0.03980315067634015,0.24716317151201675,0.625,0.8087462308787257,0.10645894610992446,0.875,1.0,1.0,16.5,False,3,False
0.25,0.6029,0.1,0.10997348677817159,0.0792171227526827,0.04112727093534083,0.17791739012199623,0.625,1.0460175956231006,0.1144273886023382,1.0,1.0,1.0,8.0,False,5,False
0.25,0.6029,0.175,0.10953766016610718,0.008512700357953885,0.006803421523176799,0.20993022474453155,0.375,0.7066125010550621,0.10691664717432897,0.5,1.0,1.0,11.5,False,4,False
0.25,0.6029,0.25,0.19066845825201664,0.21123937398527076,0.12092007410733178,0.25004475385522995,0.875,1.920625322337855,0.11832900823117536,1.0,1.0,1.0,16.0,True,2,False
0.25,0.6029,0.325,0.14119122456531394,0.12360615776205686,0.05365684897111801,0.2459578923967775,0.625,0.9606771382590246,0.10899103311561212,1.0,1.0,1.0,21.0,False,1,False
0.25,0.6029,0.4,0.21193286544029138,0.18185629481686189,0.09134232282912412,0.3450425096413644,0.75,1.1220423573972786,0.10885564218724333,0.875,1.0,1.0,20.75,False,0,False
