temperature,lambda,eta,seed,full_log_loss,memoryless_log_loss,random_log_loss,shuffled_log_loss,finite_history_log_loss,best_history_k,strongest_control_log_loss,relative_improvement,paired_future_jsd,random_residue_jsd,shuffled_residue_jsd,finite_history_jsd,mean_residue_norm,beats_memoryless,beats_random,beats_shuffled,beats_finite_history
0.08,0.1,0.25,4,0.29257145859691724,2.595719135639174,4.873403365351387,3.68682777420593,0.31842038863290717,8,0.31842038863290717,0.0811786272448465,0.1753382008707523,0.2685534593519712,0.24937100993277006,0.008754527369017608,0.7054913210263812,True,True,True,True
0.08,0.1,0.25,5,0.2800366283317855,2.607292861048481,5.043491370117855,3.7268637224041234,0.3410656320607345,2,0.3410656320607345,0.17893624567274308,0.1847401070632239,0.2644415781687616,0.20435606488220232,0.0092528341640562,0.672590797669715,True,True,True,True
0.08,0.1,0.25,6,4.1764140667431e-06,0.007673882090450562,2.0230566874709863,1.787692732935222,0.0,1,0.0,-4176414.0667431,0.0026473248673043698,0.14352253421683142,0.15989632884252694,1.4474220402819798e-06,0.7388830834153992,True,True,True,False
0.08,0.1,0.25,7,0.25785097755941083,7.69953000578694,8.048733988863207,8.21723963616101,1.34618680360177,4,1.34618680360177,0.8084582489818489,0.33863323532022094,0.36639199457356425,0.34624734106408295,0.015995601380936537,0.6906464412815861,True,True,True,True
0.08,0.1,0.325,0,0.15955868450564287,2.073011769483188,4.210559453562891,3.2342776669029596,0.336941104417512,16,0.336941104417512,0.5264493336855399,0.15889147055970948,0.2570380423788298,0.19196141825517654,0.007740688755392992,0.8522234695589125,True,True,True,True
0.08,0.1,0.325,1,0.037690547868807725,1.0132850090967749,2.5974956188549427,1.2037812135116273,0.05347623873604803,1,0.05347623873604803,0.2951907471495234,0.22994116678017612,0.24631191636420102,0.16337229743247114,0.0012703620309979307,0.8145596897524009,True,True,True,True
0.08,0.1,0.325,2,0.0012005060040382349,1.1571463089218674,4.025262693762734,2.984530614781713,0.0008282342774613216,16,0.0008282342774613216,-0.4494763579672037,0.25998235041336576,0.2892943751666455,0.259885813454481,0.00010307564177626277,1.2213253897154976,True,True,True,False
0.08,0.1,0.325,3,0.14910734434169326,1.809149656894976,4.088965812395724,4.044078617901599,0.1783093506360199,4,0.1783093506360199,0.16377159240479905,0.2512728957775768,0.26530689296553217,0.2414577649277449,0.004719148749270685,0.9374451328715306,True,True,True,True
0.08,0.1,0.325,4,0.30464783323203715,2.6628706513004805,5.095197671410334,3.6201535998042758,0.3563397645966309,2,0.3563397645966309,0.14506360642379595,0.18748548313039187,0.2760630143656458,0.24870494160245502,0.007481510956432491,0.9157640111294758,True,True,True,True
0.08,0.1,0.325,5,0.25829094377095385,2.551339250516744,5.496675618689879,4.794398076144499,0.2756925585316254,4,0.2756925585316254,0.06311963896796784,0.18826355197632552,0.28604991892385806,0.22371712890547257,0.007682274375514138,0.8659443740656763,True,True,True,True
0.08,0.1,0.325,6,4.812813903630283e-06,0.007673882090450562,1.3191995639064853,2.8755771822258436,0.0,4,0.0,-4812813.903630284,0.0026469560404124223,0.15131034853311753,0.22045248411482762,1.6679635803432237e-06,0.9605480084400194,True,True,True,False
0.08,0.1,0.325,7,0.1815447564752647,9.393982055202006,9.237187783405266,9.234881076854325,0.9186953265079743,4,0.9186953265079743,0.8023885054849151,0.34715889483432555,0.377033805539832,0.3732018325245368,0.01642003751015881,0.8783621520076735,True,True,True,True
0.08,0.1,0.4,0,0.19516629620453968,2.204547361125085,4.98986128895337,3.1691657457456976,0.6473035458863065,1,0.6473035458863065,0.698493392404776,0.19151837441596264,0.3059316612062045,0.22854977683741848,0.016829539912837182,1.05498261187669,True,True,True,True
0.08,0.1,0.4,1,0.03215823679710237,1.0159086423329209,2.504867676830836,0.9675131521397595,0.04279183787608244,1,0.04279183787608244,0.2484960124819385,0.23164637520710443,0.24056822571900252,0.14149820766245294,0.0010679639966458907,0.9996953578185013,True,True,True,True
0.08,0.1,0.4,2,0.03524390313646862,4.022067011758156,4.302384857603212,3.845352407864814,0.03462140459400521,2,0.03462140459400521,-0.01798016428747668,0.13878793491150837,0.25454267459783514,0.21011411049999645,0.0011205520196196025,1.1254257827238108,True,True,True,False
0.08,0.1,0.4,3,0.19496793465567133,1.6127498921735923,4.119550299246757,3.0706251857643116,0.22455398818499386,2,0.22455398818499386,0.1317547453441295,0.19637869759722137,0.2688753481079717,0.24099812337625823,0.009665128964849582,1.1333041066764677,True,True,True,True
0.08,0.1,0.4,4,0.280589679297721,2.313678433193786,4.778858790828646,3.8319863825472287,0.30737259742234163,2,0.30737259742234163,0.08713502227988101,0.18580511511454934,0.2649972508608294,0.2558278110030579,0.006903299693698675,1.1257546322347636,True,True,True,True
0.08,0.1,0.4,5,0.3030510233638329,2.6859517266976107,5.348597998789091,4.091536821847992,0.4594413606988742,8,0.4594413606988742,0.3403923780330745,0.1992843528562451,0.2893940879858618,0.20025810160590798,0.010149824730131912,1.06434398889553,True,True,True,True
