step,time,order_parameter,edge_count,avg_degree,candidate_pairs,edge_added,recouple_asymmetry,inadmissible_edge_added,inadmissible_edge_add_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean
166,8.3,0.2962532529233282,286,11.44,62,1,0.016129032258064516,0,0.0,0,0.0,0.0
167,8.35,0.29809317676223707,288,11.52,60,3,0.05,0,0.0,0,0.0,0.0
168,8.4,0.2999409037305232,288,11.52,57,1,0.017543859649122806,0,0.0,0,0.0,0.0
169,8.450000000000001,0.3017811895997541,286,11.44,58,0,0.0,0,0.0,0,0.0,0.0
170,8.5,0.3035824286299613,284,11.36,58,0,0.0,0,0.0,0,0.0,0.0
171,8.55,0.3053602202187626,283,11.32,63,0,0.0,0,0.0,0,0.0,0.0
172,8.6,0.30712980858998157,284,11.36,62,1,0.016129032258064516,0,0.0,0,0.0,0.0
173,8.65,0.3089325721635859,286,11.44,63,2,0.031746031746031744,0,0.0,0,0.0,0.0
174,8.700000000000001,0.3107700998518569,290,11.6,60,4,0.06666666666666667,0,0.0,0,0.0,0.0
175,8.75,0.3126283463286072,289,11.56,57,1,0.017543859649122806,0,0.0,0,0.0,0.0
176,8.8,0.3145241190038489,289,11.56,59,0,0.0,0,0.0,0,0.0,0.0
177,8.85,0.3164565934018327,291,11.64,61,2,0.03278688524590164,0,0.0,0,0.0,0.0
178,8.9,0.3184113636497638,292,11.68,62,1,0.016129032258064516,0,0.0,0,0.0,0.0
179,8.950000000000001,0.32040530690384317,290,11.6,59,0,0.0,0,0.0,0,0.0,0.0
180,9.0,0.32236560685822574,290,11.6,61,2,0.03278688524590164,0,0.0,0,0.0,0.0
181,9.05,0.32433679116066927,290,11.6,61,1,0.01639344262295082,0,0.0,0,0.0,0.0
182,9.1,0.32633746121943025,293,11.72,60,3,0.05,0,0.0,0,0.0,0.0
183,9.15,0.3283813710033723,293,11.72,56,1,0.017857142857142856,0,0.0,0,0.0,0.0
184,9.200000000000001,0.33042204440676665,294,11.76,56,1,0.017857142857142856,0,0.0,0,0.0,0.0
185,9.25,0.3325025514690453,294,11.76,54,0,0.0,0,0.0,0,0.0,0.0
186,9.3,0.3346235775757888,292,11.68,57,0,0.0,0,0.0,0,0.0,0.0
187,9.35,0.33667873928401576,291,11.64,55,2,0.03636363636363636,0,0.0,0,0.0,0.0
188,9.4,0.3386581119693139,288,11.52,52,0,0.0,0,0.0,0,0.0,0.0
189,9.450000000000001,0.34059747500048854,290,11.6,54,3,0.05555555555555555,0,0.0,0,0.0,0.0
190,9.5,0.34254777297185396,291,11.64,52,1,0.019230769230769232,0,0.0,0,0.0,0.0
191,9.55,0.3445386299335296,292,11.68,52,2,0.038461538461538464,0,0.0,0,0.0,0.0
192,9.600000000000001,0.34653014105207036,291,11.64,52,0,0.0,0,0.0,0,0.0,0.0
193,9.65,0.3485528039232485,291,11.64,53,2,0.03773584905660377,0,0.0,0,0.0,0.0
194,9.700000000000001,0.3505292959467834,292,11.68,51,2,0.0392156862745098,0,0.0,0,0.0,0.0
195,9.75,0.35254847601292205,292,11.68,53,1,0.018867924528301886,0,0.0,0,0.0,0.0
196,9.8,0.3545973058653574,293,11.72,54,1,0.018518518518518517,0,0.0,0,0.0,0.0
197,9.850000000000001,0.3566853852601948,292,11.68,55,1,0.01818181818181818,0,0.0,0,0.0,0.0
198,9.9,0.35874744026447697,294,11.76,58,2,0.034482758620689655,0,0.0,0,0.0,0.0
199,9.950000000000001,0.3608561653971259,294,11.76,57,2,0.03508771929824561,0,0.0,0,0.0,0.0
200,10.0,0.36297054231390535,293,11.72,57,0,0.0,0,0.0,0,0.0,0.0
201,10.05,0.36511068461291607,294,11.76,57,2,0.03508771929824561,0,0.0,0,0.0,0.0
202,10.100000000000001,0.36728093159268405,297,11.88,57,4,0.07017543859649122,0,0.0,0,0.0,0.0
203,10.15,0.369463244088493,299,11.96,53,2,0.03773584905660377,0,0.0,0,0.0,0.0
204,10.200000000000001,0.37167407434868976,296,11.84,53,0,0.0,0,0.0,0,0.0,0.0
205,10.25,0.37379659837954415,297,11.88,54,1,0.018518518518518517,0,0.0,0,0.0,0.0
206,10.3,0.37594792372790886,297,11.88,55,1,0.01818181818181818,0,0.0,0,0.0,0.0
207,10.350000000000001,0.3780891518438105,296,11.84,55,1,0.01818181818181818,0,0.0,0,0.0,0.0
208,10.4,0.38018939700958077,296,11.84,54,0,0.0,0,0.0,0,0.0,0.0
209,10.450000000000001,0.38232825687279537,297,11.88,54,1,0.018518518518518517,0,0.0,0,0.0,0.0
210,10.5,0.38449345669606844,298,11.92,55,1,0.01818181818181818,0,0.0,0,0.0,0.0
211,10.55,0.3866989774641944,298,11.92,57,1,0.017543859649122806,0,0.0,0,0.0,0.0
212,10.600000000000001,0.38890492618878464,298,11.92,56,1,0.017857142857142856,0,0.0,0,0.0,0.0
213,10.65,0.3910843517985671,298,11.92,59,0,0.0,0,0.0,0,0.0,0.0
214,10.700000000000001,0.3933039588260226,298,11.92,59,0,0.0,0,0.0,0,0.0,0.0
215,10.75,0.3955644223502811,295,11.8,60,0,0.0,0,0.0,0,0.0,0.0
216,10.8,0.39777414936937566,297,11.88,62,2,0.03225806451612903,0,0.0,0,0.0,0.0
217,10.850000000000001,0.40002294529100835,298,11.92,62,1,0.016129032258064516,0,0.0,0,0.0,0.0
218,10.9,0.40230303235302817,299,11.96,64,1,0.015625,0,0.0,0,0.0,0.0
219,10.950000000000001,0.40462058376462995,301,12.04,67,2,0.029850746268656716,0,0.0,0,0.0,0.0
220,11.0,0.4069713475010438,304,12.16,66,3,0.045454545454545456,0,0.0,0,0.0,0.0
221,11.05,0.4093535895652395,304,12.16,65,1,0.015384615384615385,0,0.0,0,0.0,0.0
222,11.100000000000001,0.41172631435318424,303,12.12,64,0,0.0,0,0.0,0,0.0,0.0
223,11.15,0.41410296389401957,305,12.2,67,2,0.029850746268656716,0,0.0,0,0.0,0.0
224,11.200000000000001,0.41653318827449154,305,12.2,64,1,0.015625,0,0.0,0,0.0,0.0
225,11.25,0.4190166538072768,308,12.32,65,3,0.046153846153846156,0,0.0,0,0.0,0.0
226,11.3,0.4215518454264956,308,12.32,63,2,0.031746031746031744,0,0.0,0,0.0,0.0
227,11.350000000000001,0.4240392785919854,307,12.28,66,0,0.0,0,0.0,0,0.0,0.0
228,11.4,0.42657179877534745,307,12.28,67,1,0.014925373134328358,0,0.0,0,0.0,0.0
229,11.450000000000001,0.4290942021649719,308,12.32,67,1,0.014925373134328358,0,0.0,0,0.0,0.0
230,11.5,0.43165310835974136,309,12.36,68,1,0.014705882352941176,0,0.0,0,0.0,0.0
231,11.55,0.4342535605951505,312,12.48,67,5,0.07462686567164178,0,0.0,0,0.0,0.0
232,11.600000000000001,0.43682406755626674,309,12.36,64,1,0.015625,0,0.0,0,0.0,0.0
233,11.65,0.4392234459689462,307,12.28,64,1,0.015625,0,0.0,0,0.0,0.0
234,11.700000000000001,0.4415365984393328,308,12.32,65,1,0.015384615384615385,0,0.0,0,0.0,0.0
235,11.75,0.4438835799319291,309,12.36,66,1,0.015151515151515152,0,0.0,0,0.0,0.0
236,11.8,0.4462649543558026,310,12.4,65,1,0.015384615384615385,0,0.0,0,0.0,0.0
237,11.850000000000001,0.44869003725655143,310,12.4,68,0,0.0,0,0.0,0,0.0,0.0
238,11.9,0.4511593842313056,309,12.36,68,1,0.014705882352941176,0,0.0,0,0.0,0.0
239,11.950000000000001,0.4535801698129904,308,12.32,70,2,0.02857142857142857,0,0.0,0,0.0,0.0
240,12.0,0.45592559240518643,309,12.36,69,1,0.014492753623188406,0,0.0,0,0.0,0.0
241,12.05,0.4583117870131746,309,12.36,69,0,0.0,0,0.0,0,0.0,0.0
242,12.100000000000001,0.4607385458563466,310,12.4,70,2,0.02857142857142857,0,0.0,0,0.0,0.0
243,12.15,0.4631551442341041,309,12.36,72,1,0.013888888888888888,0,0.0,0,0.0,0.0
244,12.200000000000001,0.4655169182776146,309,12.36,71,1,0.014084507042253521,0,0.0,0,0.0,0.0
245,12.25,0.46786261036705323,308,12.32,71,1,0.014084507042253521,0,0.0,0,0.0,0.0
246,12.3,0.47015890045455166,308,12.32,68,1,0.014705882352941176,0,0.0,0,0.0,0.0
